open_date;open_time;close_date;close_time;pnl_abs;pnl_pct;entry_price;exit_price
2008-11-06;01:04:00;2008-11-06;01:04:00;544.81141;0.54099;1.28758;1.28930
2008-11-06;16:17:00;2008-11-06;16:47:00;235.85305;0.23420;1.27326;1.27447
2008-11-07;02:47:00;2008-11-07;02:58:00;456.62799;0.45237;1.27377;1.27235
2008-11-07;07:18:00;2008-11-07;07:19:00;547.71276;0.54016;1.27900;1.27731
2008-11-07;11:56:00;2008-11-07;12:03:00;507.88973;0.49820;1.27573;1.27730
2008-11-10;11:37:00;2008-11-10;11:58:00;280.24946;0.27354;1.29208;1.29119
2008-11-11;01:42:00;2008-11-11;02:02:00;309.71413;0.30147;1.26797;1.26894
2008-11-12;01:49:00;2008-11-12;02:05:00;314.22258;0.30494;1.25851;1.25755
2008-11-12;06:41:00;2008-11-12;06:54:00;457.37130;0.44251;1.26183;1.26045
2008-11-12;12:17:00;2008-11-12;12:32:00;413.73510;0.39853;1.25988;1.25863
2008-11-12;17:28:00;2008-11-12;17:41:00;412.31066;0.39558;1.25744;1.25620
2008-11-13;07:29:00;2008-11-13;07:43:00;-1064.65893;-1.01744;1.24238;1.23940
2008-11-13;12:28:00;2008-11-13;12:35:00;491.39916;0.47443;1.25874;1.25641
2008-11-13;17:48:00;2008-11-13;17:48:00;563.20491;0.53828;1.24785;1.24952
2008-11-14;01:04:00;2008-11-14;01:08:00;518.61958;0.49566;1.27314;1.27470
2008-11-14;16:48:00;2008-11-14;17:01:00;416.31345;0.39592;1.27324;1.27199
2008-11-17;16:12:00;2008-11-17;16:16:00;526.86017;0.49908;1.27048;1.26892
2008-11-18;18:16:00;2008-11-18;18:21:00;529.54880;0.49914;1.26099;1.26255
2008-11-19;16:22:00;2008-11-19;16:29:00;-1077.28036;-1.01037;1.26224;1.25735
2008-11-19;16:29:00;2008-11-19;16:40:00;502.74667;0.47633;1.25702;1.26082
2008-11-20;17:48:00;2008-11-20;18:00:00;397.12080;0.37447;1.25787;1.25670
2008-11-21;04:24:00;2008-11-21;04:30:00;458.43575;0.43068;1.25103;1.24970
2008-11-24;10:10:00;2008-11-24;10:35:00;327.23918;0.30611;1.26671;1.26574
2008-11-24;11:28:00;2008-11-24;11:45:00;385.51899;0.35952;1.27206;1.27026
2008-11-25;00:54:00;2008-11-25;01:25:00;134.24336;0.12474;1.28727;1.28770
2008-11-25;16:10:00;2008-11-25;16:14:00;582.83455;0.54091;1.29342;1.29515
2008-11-27;10:16:00;2008-11-27;10:19:00;584.64821;0.53967;1.29688;1.29516
2008-11-28;11:57:00;2008-11-28;12:34:00;-1095.93408;-1.00620;1.27853;1.27357
2008-12-01;01:20:00;2008-12-01;01:35:00;398.79921;0.36987;1.26309;1.26426
2008-12-01;13:55:00;2008-12-01;13:59:00;581.93245;0.53773;1.25912;1.26080
2008-12-02;10:19:00;2008-12-02;10:41:00;278.47843;0.25595;1.26590;1.26508
2008-12-02;12:53:00;2008-12-02;13:05:00;325.62688;0.29852;1.26932;1.26837
2008-12-04;16:15:00;2008-12-04;16:27:00;-1100.30607;-1.00570;1.27591;1.28079
2008-12-04;16:27:00;2008-12-04;17:14:00;-19.83351;-0.01831;1.28175;1.28185
2008-12-05;10:54:00;2008-12-05;11:42:00;-1098.93267;-1.01483;1.27240;1.26934
2008-12-08;06:30:00;2008-12-08;06:58:00;278.22418;0.25957;1.28264;1.28180
2008-12-09;01:58:00;2008-12-09;02:15:00;329.40380;0.30652;1.28668;1.28768
2008-12-09;11:16:00;2008-12-09;11:22:00;533.86122;0.49525;1.28170;1.28327
2008-12-09;17:12:00;2008-12-09;17:56:00;-126.37994;-0.11666;1.29725;1.29778
2008-12-10;07:26:00;2008-12-10;07:30:00;538.89023;0.49804;1.30044;1.29885
2008-12-10;10:35:00;2008-12-10;10:49:00;470.16908;0.43237;1.29067;1.29206
2008-12-11;05:31:00;2008-12-11;05:34:00;589.65326;0.53991;1.31021;1.30847
2008-12-11;10:50:00;2008-12-11;11:01:00;496.12901;0.45184;1.31798;1.31651
2008-12-11;17:47:00;2008-12-11;18:16:00;145.10452;0.13156;1.33629;1.33556
